companyId,groupId,published,name,price,category,type,term,schedule,description,imageUrl
africa-new-life-church,africa-new-life,true,Sunday Worship Service,0,Worship Services,membership,dated,"{""date"":null,""capacity"":400}","Weekly community worship service, open to all.",https://images.unsplash.com/photo-1507692049790-de58290a4334?w=400&h=400&fit=crop
africa-new-life-church,africa-new-life,true,Africa College of Theology — Certificate Program,120,Theology Training,membership,dated,"{""date"":null,""capacity"":40}",One-year theology certificate for pastors and lay leaders.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=400&fit=crop
africa-new-life-church,africa-new-life,true,Community Outreach Visit,0,Outreach,service,,,Home visits and prayer support for sponsored families.,https://images.unsplash.com/photo-1593113646773-028c64a8f1b8?w=400&h=400&fit=crop
africa-new-life-school,africa-new-life,true,Child Sponsorship (Monthly),39,Child Sponsorship,membership,recurring,,"Monthly sponsorship covering education, meals, and health checks for one child.",https://images.unsplash.com/photo-1497486751825-1233686d5d80?w=400&h=400&fit=crop
africa-new-life-school,africa-new-life,true,After-School Tutoring Program,10,Tutoring,membership,dated,"{""date"":null,""capacity"":50}","Weekly tutoring sessions in math, English, and science.",https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=400&h=400&fit=crop
africa-new-life-school,africa-new-life,true,Sewing Vocational Program,25,Vocational Training,membership,dated,"{""date"":null,""capacity"":20}","Skills training program for women, based on the sewing empowerment initiative.",https://images.unsplash.com/photo-1584464491033-06628f3a6b7b?w=400&h=400&fit=crop
africa-new-life-hospital,africa-new-life,true,General Health Checkup,5,Checkups,service,,,Basic health screening for children and adults.,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=400&h=400&fit=crop
africa-new-life-hospital,africa-new-life,true,Prenatal & Maternal Care Visit,8,Maternal Care,service,,,Prenatal checkup and maternal health consultation.,https://images.unsplash.com/photo-1584515979956-d9f6e5d09982?w=400&h=400&fit=crop
africa-new-life-hospital,africa-new-life,true,Family Health Package,20,Family Health,membership,recurring,,Quarterly health package covering a full family household.,https://images.unsplash.com/photo-1631217868264-e5b90bb7e133?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Kigali Cultural Night,15,Events,membership,dated,"{""date"":null,""capacity"":150}","An evening of traditional dance, music, and storytelling.",https://images.unsplash.com/photo-1470229722913-7c0e2dbbafd3?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Umuganura Harvest Festival,10,Events,membership,dated,"{""date"":null,""capacity"":300}",Celebrate the traditional harvest festival with the community.,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Poetry & Spoken Word Evening,8,Events,membership,dated,"{""date"":null,""capacity"":60}",An intimate evening of local poets and spoken word artists.,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Igisoro Tournament,5,Cultural Games,membership,dated,"{""date"":null,""capacity"":32}","Traditional strategy board game tournament, all skill levels.",https://images.unsplash.com/photo-1610890716171-6b1bb98ffd09?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Urukiramende Game Session,4,Cultural Games,membership,dated,"{""date"":null,""capacity"":20}",Learn and play this traditional Rwandan game with local elders.,https://images.unsplash.com/photo-1611891487122-207579d67d98?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Kids Cultural Games Day,6,Cultural Games,membership,dated,"{""date"":null,""capacity"":50}",A day of traditional games for children and families.,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Traditional Dance Course (4 weeks),70,Trainings,membership,dated,"{""date"":null,""capacity"":15}",Weekly sessions learning intore and other traditional dances.,https://images.unsplash.com/photo-1460661419201-fd4cecdf8a8b?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Drumming Fundamentals Course,65,Trainings,membership,dated,"{""date"":null,""capacity"":10}",Six-week course on traditional Rwandan drumming patterns.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=400&h=400&fit=crop
artists-hub-kimihurura,artists-hub,true,Storytelling & Oral History Workshop,30,Trainings,membership,dated,"{""date"":null,""capacity"":20}",One-day workshop on Rwandan oral storytelling traditions.,https://images.unsplash.com/photo-1490312278390-ab64016e0aa9?w=400&h=400&fit=crop
