companyId,groupId,type,category,amount,currency,paymentDate,fiscalPeriod,method,source,createdBy,notes,createdAt
africa-new-life-church,africa-new-life,incoming,other,156000,FRW,2026-08-24T00:00:00.000Z,2026-08,bank,manual,,Theology certificate tuition,2026-08-24T00:00:00.000Z
africa-new-life-school,africa-new-life,incoming,other,51000,FRW,2026-08-24T00:00:00.000Z,2026-08,card,manual,,Monthly child sponsorship,2026-08-24T00:00:00.000Z
africa-new-life-hospital,africa-new-life,incoming,sale,10400,FRW,2026-08-24T00:00:00.000Z,2026-08,cash,manual,,Prenatal checkup fee,2026-08-24T00:00:00.000Z
artists-hub-kimihurura,artists-hub,incoming,sale,19500,FRW,2026-08-24T00:00:00.000Z,2026-08,mobileMoney,manual,,Cultural Night ticket,2026-08-24T00:00:00.000Z
artists-hub-kimihurura,artists-hub,outgoing,other,650000,FRW,2026-08-24T00:00:00.000Z,2026-08,bank,manual,,Studio rent,2026-08-24T00:00:00.000Z
artists-hub-nyamirambo,artists-hub,incoming,sale,117000,FRW,2026-08-24T00:00:00.000Z,2026-08,cash,manual,,Homestay booking deposit,2026-08-24T00:00:00.000Z
electronics,,incoming,sale,519000,FRW,2026-08-24T00:00:00.000Z,2026-08,card,manual,,Nova X12 sale,2026-08-24T00:00:00.000Z
hardware,,incoming,sale,55000,FRW,2026-08-24T00:00:00.000Z,2026-08,cash,manual,,Tool set sale,2026-08-24T00:00:00.000Z
insurance,,incoming,subscription,52000,FRW,2026-08-24T00:00:00.000Z,2026-08,bank,manual,,Health Individual Plan premium,2026-08-24T00:00:00.000Z
gym,,incoming,sale,58000,FRW,2026-08-24T00:00:00.000Z,2026-08,card,manual,,Monthly membership,2026-08-24T00:00:00.000Z
gym,,outgoing,other,1040000,FRW,2026-08-24T00:00:00.000Z,2026-08,bank,manual,,Facility rent,2026-08-24T00:00:00.000Z
