companyId,name,price,category,type,term,billingPeriod,conditional,schedule,description,imageUrl
africa-new-life-church,Sunday Worship Service,0,Worship Services,membership,dated,,,"{""date"":null,""capacity"":400}","Weekly community worship service, open to all.",https://images.unsplash.com/photo-1507692049790-de58290a4334?w=400&h=400&fit=crop
africa-new-life-church,Africa College of Theology — Certificate Program,156000,Theology Training,membership,dated,,,"{""date"":null,""capacity"":40}",One-year theology certificate for pastors and lay leaders.,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=400&h=400&fit=crop
africa-new-life-church,Community Outreach Visit,0,Outreach,service,,,,,Home visits and prayer support for sponsored families.,https://images.unsplash.com/photo-1593113646773-028c64a8f1b8?w=400&h=400&fit=crop
africa-new-life-school,Child Sponsorship (Monthly),51000,Child Sponsorship,membership,recurring,,,,"Monthly sponsorship covering education, meals, and health checks for one child.",https://images.unsplash.com/photo-1497486751825-1233686d5d80?w=400&h=400&fit=crop
africa-new-life-school,After-School Tutoring Program,13000,Tutoring,membership,dated,,,"{""date"":null,""capacity"":50}","Weekly tutoring sessions in math, English, and science.",https://images.unsplash.com/photo-1524178232363-1fb2b075b655?w=400&h=400&fit=crop
africa-new-life-school,Sewing Vocational Program,32500,Vocational Training,membership,dated,,,"{""date"":null,""capacity"":20}","Skills training program for women, based on the sewing empowerment initiative.",https://images.unsplash.com/photo-1584464491033-06628f3a6b7b?w=400&h=400&fit=crop
africa-new-life-hospital,General Health Checkup,6500,Checkups,service,,,,,Basic health screening for children and adults.,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=400&h=400&fit=crop
africa-new-life-hospital,Prenatal & Maternal Care Visit,10400,Maternal Care,service,,,,,Prenatal checkup and maternal health consultation.,https://images.unsplash.com/photo-1584515979956-d9f6e5d09982?w=400&h=400&fit=crop
africa-new-life-hospital,Family Health Package,26000,Family Health,membership,recurring,,,,Quarterly health package covering a full family household.,https://images.unsplash.com/photo-1631217868264-e5b90bb7e133?w=400&h=400&fit=crop
artists-hub-kimihurura,Kigali Cultural Night,19500,Events,membership,dated,,,"{""date"":null,""capacity"":150}","An evening of traditional dance, music, and storytelling.",https://images.unsplash.com/photo-1470229722913-7c0e2dbbafd3?w=400&h=400&fit=crop
artists-hub-kimihurura,Umuganura Harvest Festival,13000,Events,membership,dated,,,"{""date"":null,""capacity"":300}",Celebrate the traditional harvest festival with the community.,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400&h=400&fit=crop
artists-hub-kimihurura,Poetry & Spoken Word Evening,10400,Events,membership,dated,,,"{""date"":null,""capacity"":60}",An intimate evening of local poets and spoken word artists.,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=400&h=400&fit=crop
artists-hub-kimihurura,Igisoro Tournament,6500,Cultural Games,membership,dated,,,"{""date"":null,""capacity"":32}","Traditional strategy board game tournament, all skill levels.",https://images.unsplash.com/photo-1610890716171-6b1bb98ffd09?w=400&h=400&fit=crop
artists-hub-kimihurura,Urukiramende Game Session,5200,Cultural Games,membership,dated,,,"{""date"":null,""capacity"":20}",Learn and play this traditional Rwandan game with local elders.,https://images.unsplash.com/photo-1611891487122-207579d67d98?w=400&h=400&fit=crop
artists-hub-kimihurura,Kids Cultural Games Day,7800,Cultural Games,membership,dated,,,"{""date"":null,""capacity"":50}",A day of traditional games for children and families.,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=400&h=400&fit=crop
artists-hub-kimihurura,Traditional Dance Course (4 weeks),91000,Trainings,membership,dated,,,"{""date"":null,""capacity"":15}",Weekly sessions learning intore and other traditional dances.,https://images.unsplash.com/photo-1460661419201-fd4cecdf8a8b?w=400&h=400&fit=crop
artists-hub-kimihurura,Drumming Fundamentals Course,84000,Trainings,membership,dated,,,"{""date"":null,""capacity"":10}",Six-week course on traditional Rwandan drumming patterns.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?w=400&h=400&fit=crop
artists-hub-kimihurura,Storytelling & Oral History Workshop,39000,Trainings,membership,dated,,,"{""date"":null,""capacity"":20}",One-day workshop on Rwandan oral storytelling traditions.,https://images.unsplash.com/photo-1490312278390-ab64016e0aa9?w=400&h=400&fit=crop
artists-hub-kimihurura,Inanga (Traditional Zither),110000,Instruments,physical,,,,,"Handmade traditional Rwandan zither, ready to play.",https://images.unsplash.com/photo-1465847899084-d164df4dedc6?w=400&h=400&fit=crop
artists-hub-kimihurura,Umuduri (Musical Bow),58000,Instruments,physical,,,,,"Traditional single-string musical bow, handcrafted.",https://images.unsplash.com/photo-1520523839897-bd0b52f945a0?w=400&h=400&fit=crop
artists-hub-kimihurura,Ingoma Drum,156000,Instruments,physical,,,,,"Traditional ceremonial drum, handmade with cowhide skin.",https://images.unsplash.com/photo-1517841905240-472988babdf9?w=400&h=400&fit=crop
artists-hub-nyamirambo,Nyungwe Forest Cultural Tour,78000,Tourism,service,,,,,Guided day tour combining nature and local cultural stops.,https://images.unsplash.com/photo-1516426122078-c23e76319801?w=400&h=400&fit=crop
artists-hub-nyamirambo,Kigali Heritage Walk,32500,Tourism,service,,,,,Half-day guided walking tour of Kigali's cultural landmarks.,https://images.unsplash.com/photo-1528543606781-2f6e6857f318?w=400&h=400&fit=crop
artists-hub-nyamirambo,Village Homestay Experience,117000,Tourism,service,,,,,"Two-day immersive stay with a local family, meals included.",https://images.unsplash.com/photo-1523805009345-7448845a9e53?w=400&h=400&fit=crop
artists-hub-nyamirambo,Traditional Dance Troupe,260000,Talent Booking,service,,,,,Book a full intore dance troupe for your event.,https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=400&h=400&fit=crop
